timestamp,ax,ay,az,gx,gy,gz
0,-0.436768,0.909180,0.401611,-5.187988,5.554199,29.235838
10,-0.436646,0.872070,0.431274,-4.028320,4.943848,27.587889
20,-0.434570,0.841431,0.430298,-1.892090,5.249023,27.038572
31,-0.433105,0.819214,0.403931,0.427246,5.859375,27.465818
41,-0.431885,0.802979,0.378540,3.417969,5.187988,30.639647
51,-0.430298,0.792847,0.380493,4.333496,4.211426,33.020020
62,-0.429321,0.789307,0.418457,5.737304,3.845215,35.827637
72,-0.430664,0.794189,0.477783,8.422852,4.760742,38.940430
82,-0.447632,0.848633,0.546509,12.512206,7.141113,42.175289
92,-0.456055,0.876587,0.516479,17.944336,10.314940,45.410152
102,-0.459717,0.890991,0.465210,24.902342,12.878417,48.706051
112,-0.463257,0.907837,0.439575,33.386230,14.038085,52.673336
122,-0.465088,0.961426,0.474487,52.978512,14.465331,62.377926
133,-0.460449,1.073364,0.539185,60.607906,16.601562,65.979004
143,-0.454224,1.227295,0.560181,65.002441,20.080564,66.833496
153,-0.451050,1.392334,0.531250,66.650391,23.803709,64.392090
164,-0.447388,1.542236,0.493774,67.138672,27.404783,59.082027
174,-0.408447,1.814087,0.258667,66.040039,30.639647,52.001949
184,-0.373779,2.026123,-0.006714,63.598629,31.677244,43.884274
194,-0.333740,2.353149,-0.284546,64.575195,27.954100,34.423828
205,-0.295776,2.808838,-0.467651,74.096680,18.005371,21.545408
215,-0.291504,3.349976,-0.443237,130.249023,-14.038085,-26.123045
225,-0.293457,3.840820,-0.262695,166.381821,-28.442381,-69.213867
228,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
234,0.000000,0.000000,0.000000,190.673813,-40.466305,-133.728027
245,0.059937,3.999878,0.225708,193.359360,-50.598141,-221.313461
255,0.466553,3.999878,0.659790,173.828110,-55.847164,-322.998016
265,1.495850,3.508667,1.741943,140.930176,-51.452633,-419.982880
275,1.892334,2.470825,2.039185,104.736320,-34.667969,-494.323700
286,2.114136,1.095459,2.001099,69.091797,-7.385253,-539.123535
