timestamp,ax,ay,az,gx,gy,gz
0,-0.415283,-0.022461,0.935547,2.624511,-6.530761,15.869140
10,-0.411133,-0.014893,0.956055,3.295898,-6.713867,17.089844
20,-0.409302,-0.008423,0.979126,4.760742,-6.408691,18.310547
30,-0.408691,-0.012085,0.993774,6.835937,-5.493164,19.287109
40,-0.406494,-0.014282,0.995972,9.216309,-4.089355,20.263670
50,-0.402832,-0.004272,0.986694,12.207030,-1.159668,22.460936
61,-0.398926,0.019287,0.956421,12.023925,-0.366211,23.315428
71,-0.396118,0.062012,0.902710,10.742187,-0.671387,23.559568
81,-0.395996,0.120972,0.859619,9.033203,-2.197266,22.827147
91,-0.400269,0.204834,0.901367,7.446289,-4.028320,20.996092
101,-0.404785,0.206909,0.940552,6.469726,-5.065917,18.371582
111,-0.409668,0.195923,0.961304,5.920410,-5.004883,15.747069
122,-0.412964,0.185791,0.965820,5.798339,-4.272461,13.366698
131,-0.414429,0.176514,0.954956,6.103515,-2.746582,9.948730
141,-0.415771,0.156860,0.928833,6.164550,-2.868652,9.033203
151,-0.420532,0.127686,0.887939,6.408691,-4.089355,9.155273
162,-0.432739,0.110352,0.830444,7.141113,-6.958007,10.253905
172,-0.485352,0.087769,0.716919,8.789063,-11.962890,12.084960
182,-0.526978,0.047729,0.725342,11.657714,-19.287109,15.075683
192,-0.575317,0.027344,0.877441,15.686034,-28.808592,20.202635
202,-0.628052,0.081665,1.257690,20.812986,-38.818359,27.832029
212,-0.692139,0.272095,1.894165,29.541014,-43.884274,44.738766
222,-0.762939,0.660400,2.763184,30.517576,-28.259275,47.119137
233,-0.812256,1.244873,3.633301,30.761717,5.065917,38.513184
242,-0.806274,1.902466,3.999878,36.804199,54.687496,15.075683
252,-0.534424,2.484619,3.999878,56.518551,113.220207,-22.766111
263,-0.299805,1.967773,3.989380,92.163078,171.569809,-68.481445
273,-0.042847,1.094360,3.897461,133.117676,223.693832,-109.680168
283,0.209351,0.305298,3.603271,161.376938,267.211914,-136.108398
292,0.430054,-0.122070,3.014038,163.513168,301.696777,-146.667480
303,0.601562,-0.167847,2.221802,92.163078,340.332001,-147.460937
