timestamp,ax,ay,az,gx,gy,gz
0,-0.524902,0.354004,0.394043,3.601074,47.607418,-23.132322
11,-0.516235,0.283203,0.228394,1.159668,44.372555,-23.620604
21,-0.513550,0.264893,0.196289,-1.281738,39.672852,-23.376463
31,-0.511230,0.260986,0.194092,-3.234863,34.301758,-22.521971
42,-0.506592,0.258667,0.188110,-4.394531,29.235838,-21.667479
52,-0.495972,0.244751,0.150757,-4.699707,20.141600,-19.897461
62,-0.473022,0.212524,0.082275,-3.845215,14.404296,-18.371582
72,-0.431519,0.160522,0.003906,-2.319336,7.141113,-15.502929
83,-0.372314,0.089600,-0.067993,-0.488281,-1.464844,-10.742187
93,-0.235962,-0.066895,-0.204834,0.610352,-10.925292,-3.479004
104,-0.174194,-0.102661,-0.381104,0.488281,-21.179197,6.591796
114,-0.109741,-0.060303,-0.722900,0.366211,-33.691406,18.981934
124,-0.026245,0.043213,-1.157349,4.089355,-52.612301,32.043457
135,0.086670,0.165039,-1.455811,28.869627,-122.436516,54.626461
145,0.230957,0.260376,-1.470215,35.522461,-167.907700,63.354488
155,0.384644,0.275024,-1.206299,32.043457,-211.303696,71.166992
166,0.536011,0.191162,-0.768799,22.766111,-246.948227,79.833984
176,0.837524,-0.254517,-0.039795,14.953612,-274.414062,92.468254
186,0.960083,-0.411011,0.285156,13.244628,-296.813965,111.694328
197,1.027344,-0.392700,0.754761,16.296387,-315.185547,136.962891
207,1.013428,-0.178589,1.365479,20.751951,-325.927704,164.062485
217,0.920288,0.197632,1.908325,28.381346,-305.725098,203.002914
228,0.770630,0.622925,2.087402,25.695799,-279.235840,207.214340
238,0.622803,0.960327,1.798218,14.526366,-256.713867,200.927719
248,0.506470,1.154541,1.281738,-0.854492,-248.352036,188.232407
258,0.396118,1.309204,1.029663,-12.634276,-252.624496,172.546371
269,0.123779,1.937012,2.158447,-17.517090,-255.126938,152.770996
279,-0.039673,2.269531,2.757690,-18.188477,-240.783676,125.122063
289,-0.192627,2.413574,2.864990,-17.517090,-208.679184,88.439934
300,-0.296631,2.263550,2.584229,-17.028809,-169.982895,46.325680
310,-0.337891,1.854858,2.191772,-26.977537,-113.403313,-27.099607
321,-0.332153,1.368774,1.916138,-38.696289,-98.083488,-48.095699
331,-0.306274,0.953979,1.827515,-50.476070,-85.571281,-58.715816
341,-0.270508,0.469727,1.864380,-58.532711,-72.326660,-61.584469
352,-0.268799,0.390381,1.870239,-60.119625,-57.800289,-59.143063
362,-0.271606,0.439087,1.881592,-53.466793,-42.907711,-53.710934
372,-0.269897,0.650513,1.931763,-39.550781,-28.198240,-47.668453
383,-0.254395,0.973511,2.050415,-1.892090,2.197266,-47.973629
393,-0.234619,1.294189,2.264404,17.700195,20.568846,-57.922359
403,-0.215454,1.548706,2.620483,35.888672,44.616695,-72.814941
413,-0.179321,1.747803,3.136963,49.377438,78.674316,-90.759270
423,0.044067,2.434570,3.873169,54.077145,124.877922,-111.999504
434,0.254517,2.989990,3.791992,51.086422,178.832993,-140.502930
444,0.554565,3.508057,3.454224,44.738766,232.971176,-180.358871
454,0.974854,3.893311,2.870728,36.132812,281.982422,-232.910141
464,1.506958,3.947754,2.034912,23.071287,321.228027,-297.607422
475,2.027466,3.445801,1.049683,-8.483887,351.318329,-437.255829
485,2.379883,2.421631,0.169800,-16.784668,337.951630,-486.816376
