timestamp,ax,ay,az,gx,gy,gz
0,-0.485962,0.095337,0.600342,-2.136230,-11.596679,0.061035
10,-0.478638,0.088623,0.546875,-2.136230,-13.061522,0.061035
21,-0.469604,0.116211,0.512573,-2.807617,-15.808105,0.427246
31,-0.456909,0.160767,0.484863,-7.690429,-23.010252,-0.915527
41,-0.439941,0.182129,0.465454,-9.155273,-26.977537,-2.990722
51,-0.415283,0.161133,0.460815,-8.666992,-30.822752,-4.760742
61,-0.379517,0.120239,0.453003,-6.835937,-34.423828,-5.187988
71,-0.282227,0.117554,0.374390,-4.272461,-38.452148,-4.516602
82,-0.220459,0.163818,0.336914,-2.136230,-43.334957,-3.662109
92,-0.155151,0.220337,0.287231,-1.770019,-48.828121,-3.417969
102,-0.091553,0.266968,0.176636,-3.845215,-54.809566,-4.211426
113,-0.030640,0.296631,-0.036011,-10.986327,-72.937012,-7.812500
122,0.034668,0.339233,-0.334229,-12.145995,-89.416496,-10.253905
133,0.112793,0.416992,-0.616699,-8.117676,-111.999504,-13.916015
143,0.204834,0.501587,-0.799194,1.770019,-138.793945,-19.348145
153,0.397827,0.528931,-0.765259,15.930175,-167.724594,-25.878904
164,0.485107,0.443237,-0.436646,30.883787,-196.166977,-31.982420
174,0.549072,0.351807,0.028564,41.320797,-219.787582,-36.010742
184,0.586548,0.317627,0.406006,43.212887,-234.680161,-37.475586
194,0.615723,0.355469,0.495239,22.338865,-244.995102,-39.611816
204,0.652710,0.420898,0.300781,7.019042,-254.516586,-43.945309
214,0.700439,0.441284,0.047974,-4.882812,-273.132324,-50.476070
225,0.745483,0.389648,0.014038,-9.765625,-297.424316,-57.678219
235,0.795288,0.168579,0.983643,-7.446289,-318.908691,-64.086914
245,0.777954,0.016724,1.688843,-0.671387,-329.528778,-68.725586
256,0.723877,-0.116821,2.266113,5.126953,-326.171844,-70.617676
266,0.641724,-0.221680,2.681152,4.455566,-311.096191,-69.946289
275,0.538574,-0.329590,2.973022,-13.000487,-259.521484,-63.659664
286,0.425903,-0.435181,3.173462,-24.475096,-227.233871,-57.861324
296,0.306641,-0.515625,3.239868,-35.217285,-192.687973,-50.354000
306,0.194092,-0.556396,3.071655,-43.212887,-159.973145,-41.748043
317,0.113281,-0.537598,2.692871,-47.790524,-134.826660,-33.447266
327,0.064575,-0.403809,2.060913,-50.964352,-119.628899,-26.794432
337,0.070068,-0.401733,2.058472,-55.297848,-111.389153,-22.338865
347,0.071899,-0.477783,2.153076,-60.852047,-104.064934,-18.737793
357,0.076172,-0.566895,2.251831,-65.551758,-94.360344,-13.793944
367,0.080078,-0.611938,2.346802,-64.575195,-66.589355,3.479004
378,0.070557,-0.538452,2.444580,-58.044430,-48.461910,13.610839
388,0.063232,-0.288940,2.528076,-49.011227,-26.977537,20.263670
398,0.067627,0.050537,2.510010,-38.208008,-3.723144,20.080564
409,0.098511,0.520264,2.120728,-25.878904,17.578125,13.122558
419,0.122681,0.609619,1.934204,-12.695312,34.057617,1.586914
428,0.153931,0.581055,1.859009,-0.244141,45.654293,-12.145995
439,0.187256,0.400269,1.902466,9.338379,54.443356,-25.634764
449,0.210693,0.158081,2.079346,15.624999,71.899414,-37.963867
459,0.240723,0.083740,2.416626,15.197753,85.205070,-35.156250
470,0.299927,0.309937,2.884888,14.648437,105.224602,-33.386230
480,0.382446,0.782593,3.429688,14.892577,133.666992,-39.489746
490,0.676758,1.909424,3.999878,15.197753,172.790512,-57.922359
500,0.953857,2.130371,3.999878,13.000487,225.280746,-89.599602
510,1.292725,1.851807,3.999878,8.239746,289.306641,-129.638672
520,1.613281,1.210205,3.733521,4.516602,354.675262,-166.748032
530,1.856445,0.589966,3.113892,5.187988,441.345184,-198.364243
541,2.008789,0.259277,2.333374,5.737304,458.007782,-197.875961
551,2.087158,0.198975,1.593140,2.868652,463.012665,-197.143539
561,2.102173,0.203735,0.884521,-4.272461,458.251923,-199.523911
572,1.891724,-0.200317,-0.486938,-14.282226,442.260712,-202.575668
581,1.671387,-0.558350,-0.974121,-23.620604,414.489716,-201.660141
591,1.417480,-0.877197,-1.266846,-29.357908,377.868622,-193.725571
602,1.158325,-1.122803,-1.401855,-30.334471,336.914032,-178.894028
612,0.913330,-1.300415,-1.388306,-22.705076,254.577621,-135.742187
623,0.705078,-1.383423,-1.216064,-18.859863,218.933090,-110.778801
633,0.546143,-1.335938,-0.947388,-18.554687,190.612778,-86.853020
643,0.430176,-1.172852,-0.708008,-22.155760,169.738754,-66.772461
653,0.270508,-0.803101,-0.637207,-27.832029,153.747559,-52.124020
663,0.202148,-0.750488,-0.779541,-33.386230,138.793945,-42.114254
673,0.127686,-0.789795,-0.917236,-37.109375,121.643059,-34.179687
684,0.050537,-0.849121,-0.981323,-38.513184,101.318352,-25.756834
694,-0.017212,-0.864014,-0.976196,-40.222164,56.640621,-4.699707
704,-0.069824,-0.823853,-0.941772,-41.320797,34.667969,5.737304
715,-0.113159,-0.765503,-0.889893,-40.710445,13.366698,14.892577
725,-0.151733,-0.724731,-0.806885,-37.536621,-6.774902,23.193357
735,-0.204834,-0.682129,-0.565796,-32.409668,-25.329588,31.249998
745,-0.221436,-0.634766,-0.413574,-26.184080,-42.236324,39.367676
755,-0.237549,-0.552612,-0.221313,-19.287109,-57.128902,47.119137
766,-0.257935,-0.450562,-0.006836,-11.840819,-69.152832,53.710934
776,-0.281250,-0.357666,0.177490,1.525879,-81.726067,61.096188
786,-0.303589,-0.297485,0.292358,4.821777,-83.984367,62.683102
797,-0.322754,-0.269775,0.332886,5.981445,-85.815422,63.903805
806,-0.335571,-0.243408,0.311523,5.432128,-88.623039,65.124512
816,-0.326172,-0.103516,0.154785,3.601074,-93.749992,65.429687
824,-0.307007,-0.016357,0.119995,0.000000,0.000000,0.000000
826,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
836,-0.287354,0.053467,0.192139,-5.065917,-112.060539,59.570309
847,-0.272583,0.092651,0.369995,-11.047362,-122.497551,53.222652
857,-0.264038,0.080811,0.602173,-16.235352,-130.126953,45.227047
867,-0.262329,-0.015259,0.811279,-17.089844,-130.554199,29.663084
878,-0.267334,-0.200317,0.932129,-10.559081,-124.999992,26.794432
