timestamp,ax,ay,az,gx,gy,gz
0,-0.383423,0.190918,0.402100,6.469726,-1.403808,3.417969
10,-0.365479,0.217285,0.370972,5.859375,-8.422852,4.028320
20,-0.343384,0.255737,0.334473,4.333496,-12.268065,3.540039
30,-0.313599,0.303345,0.287231,2.380371,-16.235352,2.197266
41,-0.276489,0.353638,0.198364,0.732422,-20.996092,-0.061035
51,-0.176758,0.444336,-0.116577,-0.427246,-27.954100,-3.112793
61,-0.116577,0.483032,-0.272217,-1.403808,-38.146973,-7.080078
71,-0.051025,0.515381,-0.395386,-2.441406,-51.635738,-11.901855
81,0.018555,0.527710,-0.487183,-3.234863,-67.810059,-17.639160
91,0.086670,0.487671,-0.538086,-3.234863,-86.120598,-24.047850
102,0.152954,0.385864,-0.530273,-0.488281,-125.854485,-34.667969
112,0.224243,0.265381,-0.496948,1.037598,-145.385742,-36.071777
122,0.303589,0.195801,-0.525879,2.929687,-165.466293,-35.034180
132,0.388306,0.208008,-0.619263,7.263183,-188.720688,-33.386230
143,0.555786,0.295654,-0.424927,15.075683,-215.454086,-32.470703
153,0.608154,0.350586,-0.006592,23.193357,-241.821274,-32.165527
163,0.629883,0.485229,0.480957,25.634764,-262.451172,-32.592773
173,0.638306,0.655029,0.892578,19.531250,-274.414062,-36.254883
184,0.642212,0.726440,1.204224,-5.615234,-277.343750,-59.631344
193,0.632446,0.604858,1.486084,-13.122558,-271.850586,-73.852539
203,0.603149,0.312134,1.794312,-12.084960,-261.352539,-82.641594
214,0.561279,-0.011597,2.099487,-3.662109,-245.178207,-83.251945
224,0.437500,-0.270874,2.413574,7.080078,-224.853500,-77.575684
234,0.369019,-0.219238,2.397827,12.756347,-203.308090,-69.885254
245,0.305664,-0.169678,2.315552,10.070800,-183.227524,-63.964840
255,0.248657,-0.193848,2.186523,0.549316,-165.710434,-60.729977
265,0.201172,-0.274048,2.029785,-22.094725,-140.808105,-55.236813
276,0.163940,-0.347046,1.902222,-27.587889,-133.483887,-50.109859
286,0.130371,-0.379761,1.879150,-26.306150,-127.319328,-43.762203
296,0.098999,-0.386597,1.983154,-19.470215,-119.079582,-36.743164
307,0.052612,-0.352051,2.219360,-10.070800,-106.872551,-29.235838
316,0.031982,-0.297852,2.211670,-1.647949,-91.918938,-21.606443
326,0.011841,-0.232178,2.136475,3.417969,-76.599121,-14.709472
337,-0.008301,-0.163208,2.043701,4.699707,-62.805172,-8.972168
347,-0.025146,-0.104370,1.977051,-1.586914,-40.832516,-1.770019
357,-0.034424,-0.061035,1.937744,-5.554199,-30.761717,0.366211
368,-0.037231,-0.025024,1.895508,-6.896972,-20.507811,2.197266
378,-0.038086,0.017700,1.822510,-4.699707,-10.742187,3.723144
388,-0.038452,0.130005,1.656616,0.244141,-2.624511,4.516602
399,-0.033081,0.167114,1.671509,6.713867,3.540039,4.211426
409,-0.020264,0.164917,1.786133,12.939452,8.972168,3.051758
419,-0.003784,0.131348,1.982544,18.127441,15.808105,2.014160
429,0.012573,0.100464,2.248901,22.155760,25.695799,2.197266
439,0.023315,0.123657,2.631958,23.742674,59.509274,7.629394
449,0.046265,0.248169,3.193481,18.493652,87.768547,10.253905
459,0.107788,0.478882,3.778442,8.850098,128.601074,9.521484
470,0.228760,0.786865,3.999878,-0.244141,184.020981,3.051758
480,0.672241,1.396729,3.989014,0.427246,249.694809,-10.620116
486,0.897095,1.521973,3.544800,0.000000,0.000000,0.000000
489,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
500,1.050171,1.469360,2.637085,34.667969,364.196747,-58.959957
510,1.114746,1.331421,1.552979,44.189449,389.587372,-87.585442
520,1.110352,1.190674,0.634155,37.597656,389.770477,-114.257805
530,1.054321,1.017334,-0.007202,-1.647949,340.454071,-158.020020
541,0.953369,0.748413,-0.375977,-19.348145,304.870605,-172.973618
551,0.828979,0.365845,-0.465332,-29.113768,270.202637,-180.236801
561,0.706909,-0.086060,-0.335449,-29.296873,241.760239,-177.795395
571,0.501465,-0.820557,-0.015747,-22.216795,221.252426,-165.588364
581,0.418457,-0.965332,-0.005005,-12.023925,206.665024,-146.118164
591,0.340820,-0.945801,-0.077393,-2.685547,194.457993,-123.229973
601,0.266968,-0.808350,-0.148315,4.333496,181.823715,-101.013176
612,0.200806,-0.633667,-0.178711,7.568359,167.968735,-82.824699
622,0.142700,-0.508667,-0.203857,0.427246,140.686035,-61.340328
632,0.086304,-0.480469,-0.269653,-7.934570,126.953117,-54.321285
642,0.028076,-0.520142,-0.385132,-17.578125,111.511223,-46.508785
653,-0.029297,-0.561890,-0.518066,-25.695799,93.444817,-37.414551
663,-0.134766,-0.581909,-0.612183,-30.578611,72.998047,-27.587889
674,-0.176758,-0.585693,-0.514771,-32.775879,52.062984,-17.822266
684,-0.211304,-0.580322,-0.363281,-33.325195,32.775879,-7.934570
693,-0.242920,-0.541748,-0.209717,-32.287598,16.662598,2.075195
703,-0.276001,-0.447144,-0.073120,-26.855467,-6.530761,19.775391
714,-0.306030,-0.304199,0.053345,-24.047850,-14.404296,24.841307
724,-0.327637,-0.162842,0.159424,-21.789549,-20.263670,26.367186
734,-0.344238,-0.071289,0.223877,-19.958496,-24.963377,25.329588
745,-0.373901,-0.035034,0.304199,-18.066406,-29.418943,23.132322
755,-0.383911,-0.061157,0.357178,-15.869140,-33.691406,20.996092
765,-0.394043,-0.105469,0.396729,-13.183593,-37.414551,19.653320
775,-0.406738,-0.151367,0.410400,-10.498046,-40.527340,19.531250
786,-0.421631,-0.175537,0.421143,-6.835937,-47.485348,22.949217
796,-0.436279,-0.172119,0.455322,-6.774902,-51.208492,25.451658
806,-0.449219,-0.162598,0.501709,-7.446289,-54.504391,27.709959
816,-0.460937,-0.166748,0.535889,-8.117676,-57.495113,30.273436
826,-0.487793,-0.157959,0.596436,-8.178711,-60.607906,33.325195
836,-0.500244,-0.090454,0.655762,-7.385253,-63.537594,36.560059
847,-0.511475,0.017822,0.733521,-6.408691,-65.917969,38.696289
857,-0.523437,0.128174,0.823120,-5.920410,-67.199707,38.574219
867,-0.533936,0.208130,0.905029,-7.812500,-65.124512,30.029295
877,-0.540649,0.245239,0.951660,-10.803222,-62.316891,22.827147
888,-0.539429,0.231079,0.955566,-14.587401,-59.387203,15.014647
898,-0.528687,0.149048,0.923706,-17.639160,-57.128902,8.239746
908,-0.514404,-0.008179,0.863892,-18.432617,-56.152340,4.333496
919,-0.496338,-0.412842,0.763794,-16.662598,-57.006832,5.004883
929,-0.491455,-0.540771,0.784180,-13.305663,-59.265133,10.742187
939,-0.486938,-0.571289,0.842407,-9.521484,-62.011715,20.263670
949,-0.489868,-0.500366,0.944946,-6.896972,-64.453125,31.494139
959,-0.499390,-0.341187,1.121216,-7.019042,-64.758301,49.133297
969,-0.508667,-0.139526,1.343750,-7.934570,-59.143063,51.574703
980,-0.518066,0.036499,1.530884,-8.544922,-48.889156,49.438473
990,-0.526367,0.133789,1.611938,-8.911133,-35.827637,44.250484
1000,-0.521118,0.019165,1.369385,-9.460449,-23.071287,38.513184
