timestamp,ax,ay,az,gx,gy,gz
0,-0.321533,-0.256104,0.950439,-0.488281,-0.610352,-3.234863
10,-0.328857,-0.237915,0.905640,-1.037598,-0.427246,-3.295898
20,-0.337402,-0.223877,0.865234,-3.051758,-1.220703,-3.723144
31,-0.341919,-0.223633,0.843994,-6.774902,-2.563476,-4.333496
41,-0.341309,-0.271484,0.834229,-10.803222,-4.211426,-4.699707
51,-0.338257,-0.297729,0.858643,-13.671874,-5.981445,-4.699707
62,-0.333618,-0.304810,0.917969,-14.831542,-7.629394,-4.272461
72,-0.327148,-0.297119,0.991089,-14.892577,-8.239746,-3.784179
82,-0.324463,-0.293213,1.030396,-14.526366,-4.699707,-3.356933
93,-0.326904,-0.297974,1.016968,-13.183593,-2.258301,-3.295898
103,-0.330200,-0.305054,0.968628,-10.681151,-0.793457,-3.051758
113,-0.332642,-0.306396,0.912231,-7.202148,-0.793457,-2.624511
124,-0.323853,-0.274536,0.907349,-3.662109,-1.892090,-2.258301
134,-0.314331,-0.267456,0.972656,-0.976562,-3.051758,-2.380371
145,-0.305298,-0.281616,1.046875,-0.183105,-2.990722,-2.807617
155,-0.298828,-0.308228,1.080933,-0.854492,-1.159668,-3.051758
165,-0.296387,-0.333496,1.045776,-1.159668,4.821777,-1.892090
176,-0.297852,-0.345581,0.965698,-0.427246,5.981445,-0.427246
179,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
185,0.000000,0.000000,0.000000,0.732422,5.310058,0.976562
195,-0.299316,-0.300537,0.882568,1.403808,3.967285,1.953125
206,-0.297974,-0.262573,0.910522,1.220703,3.295898,2.075195
216,-0.300049,-0.224731,0.953491,0.793457,3.723144,1.647949
226,-0.309082,-0.222534,0.930542,0.915527,4.821777,0.915527
237,-0.320068,-0.213257,0.887451,1.892090,5.676269,0.183105
247,-0.329224,-0.186157,0.845093,3.234863,5.676269,-0.488281
257,-0.338135,-0.154541,0.825195,4.272461,2.868652,-3.173828
268,-0.348999,-0.145996,0.843506,3.479004,1.220703,-5.310058
270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
277,0.000000,0.000000,0.000000,3.967285,0.488281,-7.080078
288,-0.408447,-0.194702,0.901245,7.385253,0.183105,-8.056641
298,-0.481079,-0.199829,0.853394,13.000487,-1.647949,-8.422852
308,-0.680420,-0.051758,0.837036,19.165039,-6.530761,-8.911133
319,-0.785645,0.095215,1.058472,23.681639,-13.488769,-10.803222
329,-0.890625,0.238037,1.395996,24.719236,-18.920898,-15.441894
339,-0.976318,0.329590,1.785889,21.179197,-19.348145,-23.437498
350,-1.017822,0.347656,2.176392,-11.535644,2.441406,-44.982906
360,-1.007813,0.339111,2.434692,-30.944822,24.597166,-57.189938
370,-0.939209,0.359131,2.484985,-37.231445,49.133297,-72.875977
381,-0.803955,0.341797,2.411011,-25.634764,71.655273,-93.994133
391,-0.357300,-0.539307,2.705322,0.427246,92.529289,-118.225090
401,-0.083618,-1.529297,3.073853,25.817869,118.041985,-136.169434
412,0.174927,-2.564209,3.095581,35.827637,154.418945,-135.681152
422,0.360107,-3.281372,2.448486,32.653809,198.913559,-109.924309
432,0.437500,-3.486816,1.297363,22.583006,252.014145,-4.577637
443,0.447021,-3.229492,0.156982,20.446775,240.478500,51.940914
453,0.460693,-2.735718,-0.561157,17.822266,210.693344,99.365227
463,0.515747,-2.221436,-0.795776,12.023925,175.598129,136.413574
474,0.709595,-1.412354,-0.631470,1.403808,144.165039,164.978012
484,0.808228,-1.149902,-0.634399,-15.258788,118.835442,187.499985
494,0.885620,-1.014771,-0.774536,-35.217285,97.106926,206.054672
505,0.960449,-1.006836,-0.985229,-54.016109,74.829102,223.022446
515,1.065063,-1.026611,-1.262573,-74.035645,19.409180,262.268066
525,1.200562,-0.913696,-1.679565,-72.692871,-17.822266,284.301758
536,1.343750,-0.631592,-2.230713,-66.894531,-66.711426,303.222656
546,1.496582,-0.232666,-2.786499,-52.368160,-129.699707,315.246582
556,1.868652,0.797607,-2.881958,-30.578611,-204.345688,318.298340
566,2.050781,1.229492,-1.904541,-10.986327,-280.578613,311.279297
577,2.142700,1.536133,-0.432861,-2.807617,-340.820282,295.288086
587,2.077637,1.718994,0.988037,-11.108397,-369.384735,271.972656
597,1.879028,1.671875,1.877441,-69.458008,-331.970184,212.341293
607,1.639893,1.342041,2.019775,-100.341789,-296.264648,187.194809
617,1.443481,0.869019,1.673218,-113.281242,-272.583008,173.706039
628,1.329834,0.552124,1.412598,-110.961906,-262.145996,172.424301
638,1.218018,1.249634,1.551758,-109.130852,-255.432114,175.109848
648,1.105469,2.057373,1.532593,-121.826164,-247.619614,167.602524
659,0.973755,2.648071,1.578857,-149.108887,-241.455063,138.366699
669,0.858643,2.689331,1.853394,-178.527817,-237.487778,86.791985
679,0.764038,2.177490,2.177368,-206.054672,-215.637192,-30.151365
690,0.643311,1.404297,2.151978,-193.603500,-199.890121,-67.016602
700,0.495239,0.797119,1.767578,-150.695801,-195.556625,-85.693352
710,0.376953,0.670532,1.551270,-80.261230,-206.237778,-95.214836
721,0.334961,1.994263,3.160034,-10.375976,-219.421371,-107.788078
731,0.415161,2.975952,3.999878,29.479979,-214.233383,-136.108398
741,0.563354,3.588257,3.999878,31.188963,-177.368149,-189.331039
752,0.810303,3.452393,3.999878,5.249023,-111.755363,-266.235352
762,1.150635,2.487183,3.999878,-59.692379,40.649410,-430.969208
772,1.511841,1.026489,3.965454,-81.176750,100.036613,-482.482880
783,1.821655,-0.468994,3.977661,-91.796867,148.986816,-503.784149
793,2.041504,-1.785156,3.996704,-89.233391,197.692856,-498.535126
803,2.198975,-3.765869,3.983032,-76.293945,253.845200,-470.397919
814,2.145020,-4.000000,3.707642,-61.584469,316.223145,-421.508759
824,2.011963,-4.000000,2.893433,-58.471676,375.854462,-353.942841
834,1.800415,-4.000000,1.684692,-68.664551,420.715302,-272.583008
845,1.549072,-3.740112,0.605469,-73.913574,437.255829,-111.450188
855,1.355591,-3.146362,0.092163,-67.932129,419.738739,-52.612301
865,1.278320,-2.376831,0.129761,-68.786621,404.235809,-12.512206
876,1.284546,-1.714355,0.318481,-81.237785,398.437469,13.427733
886,1.244385,-1.204712,-0.198120,-102.844231,398.071259,32.592773
896,1.106201,-1.228882,-0.898804,-125.976555,392.639130,51.330563
907,0.896729,-1.256348,-1.633057,-147.094727,372.802704,73.486328
917,0.646362,-1.192505,-2.257935,-161.437973,334.838837,99.060051
927,0.401611,-1.062378,-2.683716,-140.686035,211.364731,145.446777
938,0.213623,-0.946045,-2.827148,-105.346672,135.986328,162.780746
948,0.122314,-0.863647,-2.572388,-63.171383,62.255856,178.466782
958,0.137329,-0.758667,-1.862671,-24.536131,1.831055,194.274887
969,0.313965,-0.192871,0.110840,0.976562,-35.156250,209.899887
979,0.368286,0.289917,0.748657,6.835937,-46.630856,222.228989
989,0.362549,0.801758,0.914307,-3.723144,-39.672852,226.501450
1000,0.296997,1.248535,0.688354,-17.272949,-26.428221,219.604477
