timestamp,ax,ay,az,gx,gy,gz
0,-0.382446,-0.085449,1.010254,26.428221,4.577637,22.216795
11,-0.403687,-0.032349,0.983643,27.099607,6.164550,22.644041
21,-0.428955,-0.028076,0.912720,28.015135,6.469726,22.460936
31,-0.481689,-0.144897,0.749390,30.212400,4.272461,22.827147
41,-0.500366,-0.215576,0.802002,33.874512,-0.671387,24.475096
51,-0.513184,-0.263184,0.981567,38.269043,-6.652832,27.648924
62,-0.519897,-0.300293,1.177124,43.395992,-10.803222,31.738279
72,-0.527222,-0.333496,1.332153,50.476070,-12.023925,36.682129
82,-0.535767,-0.365356,1.526733,75.927734,-10.070800,49.133297
92,-0.527832,-0.399658,1.859375,92.712395,-4.760742,57.922359
102,-0.494751,-0.358154,2.320435,102.416985,7.690429,68.786621
113,-0.443115,-0.152222,2.786133,101.989738,28.381346,78.979492
123,-0.301392,0.709351,3.366333,93.017570,55.480953,84.594719
133,-0.223389,1.283569,3.478638,78.796387,86.547844,82.519524
144,-0.136719,1.805420,3.483276,64.392090,120.300285,69.824219
154,-0.022217,2.121704,3.342407,54.138180,156.372070,46.325680
165,0.119263,2.247070,2.992310,49.926754,228.820786,-15.014647
175,0.276123,2.297485,2.433105,51.818844,258.117676,-44.982906
185,0.440674,2.358887,1.723755,51.269527,277.954102,-74.340820
195,0.594727,2.431274,0.899292,45.898434,285.217285,-104.675285
206,0.711792,2.433350,0.028442,35.888672,277.587891,-136.047363
216,0.833374,1.982788,-1.256836,24.536131,255.920395,-165.832504
226,0.861450,1.630005,-1.569458,15.747069,225.097641,-190.429672
236,0.878052,1.325928,-1.773193,10.864257,190.429672,-208.007797
247,0.893921,1.140137,-1.920044,9.216309,154.724121,-219.238266
257,0.926270,1.074097,-2.030640,11.291503,83.679192,-235.290512
267,0.983643,1.039307,-2.163574,17.517090,48.339840,-246.032700
277,1.062256,0.905640,-2.337891,30.700682,10.620116,-257.995605
288,1.150024,0.608521,-2.489380,51.696774,-31.188963,-267.150879
298,1.231445,0.187988,-2.511597,78.002930,-76.110840,-269.348145
308,1.361206,-0.602173,-2.092041,104.919426,-120.300285,-262.756348
319,1.409424,-0.834473,-1.882813,127.746574,-160.949692,-248.352036
329,1.458130,-0.970825,-1.737183,143.432617,-198.608383,-228.759750
339,1.520020,-1.101929,-1.585815,149.353027,-235.290512,-206.970200
349,1.614624,-1.298462,-1.401611,133.239746,-307.250977,-158.569336
360,1.749023,-1.507080,-1.216187,123.962395,-342.956512,-129.577637
370,1.905640,-1.588013,-0.955566,119.812004,-379.577606,-99.243156
380,2.062988,-1.509766,-0.419800,119.384758,-412.658661,-72.387695
391,2.268921,-1.620850,1.489258,118.713371,-434.020966,-50.964352
401,2.269653,-1.998047,2.400391,114.074699,-437.683075,-31.433104
411,2.207642,-2.423584,3.086426,105.407707,-424.804657,-8.178711
422,2.104736,-2.723511,3.636597,96.984856,-401.123016,22.033689
432,1.961792,-2.868042,3.999878,80.078125,-333.740204,96.496574
442,1.763794,-2.884033,3.999878,66.040039,-292.907715,134.582520
446,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
452,0.000000,0.000000,0.000000,49.316402,-249.328598,169.738754
463,1.262573,-2.756836,3.999878,38.818359,-204.040512,202.697739
473,1.065674,-2.812866,3.986328,39.794922,-158.325195,237.792953
484,0.998047,-2.530151,3.967896,48.583981,-114.501945,278.076172
494,1.081055,-1.890259,3.837524,58.227535,-75.195312,319.519043
505,1.179810,-1.121826,3.646606,64.758301,-42.053219,353.881805
515,1.259521,-0.416748,3.543335,69.946289,-13.366698,375.610321
525,1.288330,0.252808,3.550537,76.782227,44.616695,382.812469
535,1.243042,0.952271,3.560669,71.411133,76.843262,368.041962
546,1.138184,1.608398,3.496826,57.922359,108.459465,339.538544
556,1.023438,2.029297,3.412476,44.250484,138.305664,300.231934
566,1.003540,1.617432,3.383545,35.949707,167.114243,258.728027
576,1.128418,1.029907,3.569824,30.456541,195.434555,226.745590
587,1.332031,0.629517,3.861450,26.123045,226.013168,211.669907
597,1.628540,0.702881,3.999878,22.827147,264.953613,212.219223
607,1.988281,1.318970,3.999878,28.381346,385.131805,219.970688
618,2.311401,2.392334,3.810059,41.442867,452.636688,202.392563
628,2.479126,3.538330,2.824951,56.335445,502.380341,156.555176
638,2.398315,3.999878,0.979004,65.979004,514.648438,80.017090
648,2.098633,3.999878,-0.932739,65.002441,481.994598,-17.883301
659,1.580200,3.870850,-1.610352,50.842281,422.180145,-117.797844
669,1.591797,3.337646,-0.894897,22.644041,366.882294,-199.035629
679,1.679199,2.459229,-0.619873,-15.075683,335.388153,-250.671371
689,1.712036,1.599854,-1.131104,-54.565426,323.181122,-274.841309
700,1.623535,0.967896,-2.149658,-89.172356,281.799316,-277.832031
710,1.420654,0.489746,-3.111816,-71.594238,229.309067,-270.690918
720,1.170776,0.005981,-3.490967,-39.367676,162.170395,-259.094238
731,0.950928,-0.481079,-3.100098,-6.103515,97.961418,-241.455063
741,0.671143,-0.900757,-1.573120,16.784668,50.781246,-219.604477
751,0.570923,-0.846069,-1.339966,27.282713,21.667479,-198.791489
762,0.476685,-0.824585,-1.443115,29.968260,0.183105,-183.227524
772,0.382202,-0.916992,-1.540405,29.724119,-24.780272,-172.729477
782,0.288208,-1.068237,-1.388794,27.343748,-90.759270,-156.372070
793,0.201782,-1.249756,-0.977295,23.620604,-121.093742,-147.644043
796,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
803,0.000000,0.000000,0.000000,14.221190,-143.737793,-136.596680
814,0.062500,-1.903198,0.233521,0.732422,-156.921387,-119.995110
824,-0.017822,-2.304321,0.973633,-10.681151,-158.325195,-95.581047
834,-0.251953,-2.548218,2.335693,-14.526366,-145.690918,-64.025879
845,-0.393677,-2.192017,2.584595,-9.033203,-120.239250,-29.724119
855,-0.529785,-1.627319,2.486694,2.563476,-88.256828,0.549316
865,-0.644775,-1.058105,2.229370,13.793944,-57.922359,21.301268
876,-0.731201,-0.634033,1.990479,16.906738,-16.174316,32.836914
886,-0.784790,-0.427124,1.807983,7.751464,-2.136230,30.944822
896,-0.807739,-0.403076,1.612061,-1.159668,8.911133,30.334471
907,-0.807129,-0.431763,1.393311,-3.112793,16.418457,32.836914
917,-0.758667,-0.180176,1.136475,2.258301,21.423338,36.865234
927,-0.723999,0.069092,1.069702,10.314940,25.695799,38.635254
938,-0.682495,0.239014,0.962158,16.540527,30.273436,35.400391
948,-0.634277,0.255981,0.804565,19.165039,34.362793,27.648924
958,-0.582031,0.151367,0.644775,16.418457,35.644531,10.681151
969,-0.531128,-0.000366,0.521240,13.610839,32.836914,5.920410
979,-0.484131,-0.165161,0.434082,11.291503,28.869627,4.455566
989,-0.440063,-0.336914,0.370361,10.192870,24.169920,6.347656
1000,-0.365967,-0.575317,0.282104,9.765625,18.920898,11.535644
