timestamp,ax,ay,az,gx,gy,gz
0,-0.626587,0.056763,0.835937,5.981445,-9.521484,1.098633
10,-0.626343,0.121460,0.842651,5.737304,-7.873535,3.417969
20,-0.624512,0.170776,0.837036,4.333496,-4.455566,3.906250
30,-0.625000,0.203857,0.813721,2.807617,-3.173828,2.685547
41,-0.625732,0.227783,0.784790,2.868652,-2.563476,0.793457
51,-0.624268,0.231567,0.763550,2.990722,-2.319336,-1.525879
61,-0.625366,0.154297,0.730713,2.075195,-2.197266,-3.295898
68,-0.628906,0.104248,0.716919,0.000000,0.000000,0.000000
71,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
82,-0.631958,0.076904,0.705444,0.793457,-2.807617,-3.173828
92,-0.634399,0.079224,0.694702,1.770019,-3.479004,-1.586914
102,-0.637085,0.103027,0.689087,2.929687,-4.211426,0.122070
112,-0.639526,0.142334,0.691406,2.563476,-5.798339,1.525879
123,-0.642456,0.175537,0.700317,2.380371,-6.469726,0.732422
133,-0.643921,0.181396,0.716187,2.136230,-7.019042,-0.549316
143,-0.643311,0.172241,0.734497,1.464844,-7.263183,-1.708984
154,-0.638794,0.148437,0.774658,0.610352,-7.263183,-2.746582
164,-0.634766,0.123413,0.799683,-0.549316,-6.896972,-3.601074
174,-0.630737,0.086182,0.827026,-1.892090,-6.225585,-4.150391
185,-0.627197,0.052246,0.854492,-2.990722,-5.065917,-3.906250
195,-0.622925,0.046875,0.873901,-2.563476,-1.037598,-0.549316
206,-0.618286,0.081177,0.877808,-1.586914,1.525879,1.220703
216,-0.613892,0.141724,0.862061,-1.220703,3.967285,1.892090
226,-0.609741,0.206665,0.826172,-1.525879,5.920410,1.037598
237,-0.604492,0.297485,0.747314,-2.380371,7.019042,-1.098633
247,-0.604126,0.324097,0.729248,-3.417969,7.385253,-4.089355
257,-0.604126,0.345093,0.733765,-4.150391,7.263183,-7.446289
268,-0.600708,0.366577,0.750732,-4.760742,7.263183,-10.864257
278,-0.593994,0.387451,0.754395,-7.019042,9.948730,-18.554687
288,-0.587524,0.405029,0.718506,-9.399414,12.329101,-23.132322
299,-0.585205,0.409668,0.635010,-11.901855,13.977050,-28.198240
309,-0.589966,0.388306,0.521240,-14.953612,13.916015,-33.081055
319,-0.608154,0.309448,0.297485,-20.446775,11.657714,-37.170410
