timestamp,ax,ay,az,gx,gy,gz
0,-0.397461,0.017456,0.808716,-3.051758,-5.676269,-29.602049
10,-0.395142,0.015137,0.831909,-7.385253,-8.178711,-32.287598
21,-0.380493,-0.051758,0.969482,-12.573241,-9.399414,-34.790039
31,-0.375122,-0.119507,1.016479,-17.028809,-8.789063,-36.743164
41,-0.374146,-0.199829,1.019165,-19.653320,-6.652832,-37.597656
51,-0.376465,-0.271118,0.992432,-18.737793,-2.136230,-34.484863
61,-0.381348,-0.317017,0.956909,-14.648437,-0.976562,-30.761717
72,-0.386353,-0.328491,0.920532,-9.277344,-0.549316,-26.367186
82,-0.389771,-0.293579,0.883301,-3.662109,-0.854492,-22.277830
92,-0.393311,-0.123291,0.834473,1.586914,-2.197266,-19.775391
103,-0.392090,-0.065796,0.853149,5.493164,-4.455566,-19.653320
113,-0.392334,-0.072632,0.917603,6.958007,-7.019042,-21.423338
123,-0.395020,-0.137451,1.013916,6.347656,-8.789063,-23.620604
133,-0.402466,-0.223999,1.102417,4.089355,-5.859375,-23.498533
143,-0.419312,-0.299072,1.144775,4.760742,-1.586914,-20.019531
153,-0.452393,-0.345703,1.120972,8.056641,2.624511,-14.587401
164,-0.503418,-0.340698,1.027954,15.624999,4.882812,-7.873535
174,-0.656006,-0.088623,0.734009,28.137205,3.601074,-1.525879
184,-0.756592,0.124146,0.617798,43.334957,-2.075195,2.563476
195,-0.860718,0.340088,0.589722,57.495113,-12.512206,2.868652
205,-0.945312,0.542236,0.728027,67.199707,-27.099607,-0.732422
215,-0.989502,0.745605,1.088623,69.702148,-43.273922,-8.117676
225,-0.981567,0.963013,1.639771,39.184570,-58.776852,-34.973145
235,-0.915894,1.166992,2.248779,0.061035,-48.156734,-56.640621
245,-0.796265,1.272827,2.728027,-44.311520,-25.085447,-84.228508
256,-0.636719,1.194458,2.983643,-72.448730,5.004883,-115.295403
266,-0.233887,0.414673,3.285034,-66.955566,37.170410,-146.118164
276,0.006104,-0.258423,3.596191,-29.602049,71.350098,-172.424301
287,0.263306,-1.062012,3.882568,17.333984,111.511223,-189.331039
297,0.510498,-1.877197,3.841309,43.518063,160.827621,-191.406235
307,0.709106,-2.540527,3.267822,3.845215,264.709473,-141.296387
317,0.834106,-2.948486,2.260254,-31.555174,295.776367,-95.153801
327,0.878418,-3.110229,1.153442,-56.762691,302.856445,-42.358395
337,0.864258,-3.124634,0.288452,-65.002441,288.940430,12.878417
348,0.849121,-2.981079,-0.257935,-57.678219,263.427734,68.908691
358,0.926636,-2.739136,-0.066406,-40.832516,237.121567,124.633781
368,1.070801,-2.358887,0.178833,-21.545408,218.994125,177.307114
379,1.241821,-1.923462,0.242798,-6.774902,212.524399,223.449692
389,1.399658,-1.497070,0.014038,-19.531250,215.026840,289.855957
399,1.522705,-1.141357,-0.456421,-44.067379,206.726059,311.218262
409,1.617065,-0.939087,-1.029297,-67.443848,184.875473,328.735321
419,1.696289,-0.887207,-1.620239,-82.580559,148.925781,347.412079
429,1.820190,-0.619995,-3.023193,-88.989250,98.083488,369.140594
439,1.887329,-0.160522,-3.615234,-94.665520,29.785154,389.892548
450,1.980347,0.358521,-3.822998,-107.788078,-55.297848,402.282684
460,2.133789,0.692871,-3.390625,-127.136223,-151.062012,401.428192
470,2.312744,0.741455,-2.250977,-162.231430,-320.251465,373.779266
481,2.424316,0.672241,-0.734619,-179.504379,-363.037079,360.839813
491,2.418457,0.707642,0.685181,-200.256332,-372.253387,350.341766
500,2.281250,0.883545,1.674683,-217.224106,-356.933563,339.843719
510,2.051880,1.265259,2.164795,-217.224106,-329.284637,326.293915
521,1.597412,2.805786,1.619873,-198.791489,-299.865723,303.588867
531,1.413940,3.582642,0.830322,-176.818832,-280.822754,264.770508
541,1.274292,3.999878,0.411133,-161.804184,-282.104492,207.092270
552,1.194214,3.980103,0.712891,-151.306152,-300.415039,136.901855
562,1.148315,3.516479,1.446411,-155.822754,-319.091797,-6.225585
572,1.085815,2.780396,2.056152,-169.067368,-303.710937,-61.584469
583,0.991455,2.095581,2.334839,-171.997055,-282.714844,-98.083488
592,0.868652,1.727661,2.474243,-163.085922,-263.549805,-121.459953
602,0.607910,2.113525,3.317627,-148.437500,-244.689926,-143.066406
612,0.536865,2.487915,3.879028,-134.094238,-217.956528,-174.011215
623,0.587158,2.645874,3.999878,-120.117180,-175.598129,-218.994125
633,0.761353,2.531006,3.727295,-96.679680,-121.398918,-274.414062
643,0.994751,2.156738,3.067871,16.906738,-49.743649,-390.319794
654,1.225586,1.542603,2.801758,90.698235,-45.288082,-436.950653
656,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
663,0.000000,0.000000,0.000000,154.052734,-42.114254,-467.956512
673,1.498291,0.061646,3.822144,197.753891,-25.329588,-482.055634
683,1.531494,-0.629150,3.999878,216.430649,8.239746,-480.773895
693,1.469727,-1.931641,3.999878,208.801254,54.138180,-464.782684
704,1.375854,-2.451782,3.986694,185.241684,105.651848,-434.753387
714,1.284058,-2.757080,3.977661,156.799316,157.836914,-391.967743
724,1.209839,-2.738403,3.854736,130.249023,207.641586,-340.087860
735,1.158936,-2.375610,3.476563,98.144524,285.949707,-238.525375
745,1.150635,-1.836670,2.997681,85.754387,312.805176,-203.796371
755,1.192383,-1.358887,2.641235,71.105957,337.158173,-181.335434
765,1.271851,-1.077026,2.419922,52.673336,363.464325,-165.771469
775,1.448364,-0.981079,1.735840,29.785154,391.540497,-151.367187
785,1.483154,-1.079102,1.118774,0.793457,416.564911,-134.643555
795,1.444214,-1.255859,0.428955,-37.292480,432.434052,-112.731926
806,1.338867,-1.467163,-0.238770,-78.613281,435.485809,-82.824699
816,1.179443,-1.627075,-0.837402,-108.886711,401.855438,3.845215
826,0.991089,-1.603760,-1.372803,-94.055168,368.591278,54.870602
837,0.790649,-1.307251,-1.930664,-73.364258,325.622528,103.088371
847,0.570679,-0.725220,-2.586792,-50.964352,269.470215,141.113281
857,0.132446,1.047729,-3.465210,-26.550291,196.960434,161.560043
867,-0.015869,1.993896,-3.166138,-4.760742,112.792961,158.630371
877,-0.104004,2.673096,-2.250122,10.070800,30.212400,130.126953
887,-0.139160,2.839355,-0.932617,17.211914,-33.874512,80.200195
898,-0.151489,2.457886,0.338379,-42.053219,-63.659664,-32.348633
908,-0.164551,1.672485,1.145874,-107.666008,-36.376953,-68.054199
918,-0.192139,0.759766,1.301025,-157.653809,-0.671387,-80.627434
929,-0.235474,0.035400,0.889404,-175.476059,26.611326,-72.753906
939,-0.333984,-0.361938,-0.441650,-166.015610,35.339355,-53.344723
949,-0.377563,-0.182007,-0.788696,-140.808105,24.291990,-31.738279
959,-0.407227,0.115723,-0.788086,-109.313957,0.183105,-14.404296
969,-0.427246,0.419189,-0.534058,-78.735352,-27.282713,-5.249023
979,-0.449097,0.612549,-0.211426,-44.006344,-64.086914,-11.901855
990,-0.477783,0.660156,0.013794,-42.053219,-71.838379,-21.362303
1000,-0.507690,0.596069,0.087280,-46.142574,-77.392578,-30.212400
